_id,created_at,updated_at,name,marketing,managed,gender,age,progress_rate
e88cbf158991b41c,2022-08-26 10:04:54,2022-10-07 8:35:47,온아린,FALSE,TRUE,male,10,100
34525c4c113ea233,2021-02-20 1:23:38,2022-08-08 22:04:00,유강민,FALSE,FALSE,female,40,63.64
8f869d1ce7289b3d,2021-02-20 1:23:38,2022-08-08 22:04:00,문민서,FALSE,FALSE,female,30,63.64
bf1e94f981743e8d,2022-07-22 15:59:44,2022-08-29 21:12:15,석준영,FALSE,FALSE,male,50,64.77
b281c6fc121a338c,2022-07-22 15:59:44,2022-08-29 21:12:15,석도현,FALSE,FALSE,male,20,64.77
e238423fc2bc8a8b,2022-07-22 15:59:44,2022-08-29 21:12:15,양서연,FALSE,FALSE,male,20,64.77
226142c1f3523ac1,2022-07-07 18:11:32,2022-07-27 0:24:18,박태희,FALSE,TRUE,female,30,0
ab69d8732dea43c7,2022-07-07 18:11:32,2022-07-27 0:24:18,변민주,FALSE,TRUE,female,20,99
dd3bc149a8d52352,2022-07-07 18:11:32,2022-07-27 0:24:18,유시아,FALSE,TRUE,female,20,0
3554df383b277cce,2022-06-16 12:55:38,2022-07-25 12:02:19,구건우,FALSE,TRUE,female,30,98.86
b62a387c861315a7,2022-05-04 1:03:44,2022-07-12 2:11:56,유도훈,FALSE,TRUE,male,40,98.86
247b4eb394d7d2bd,2022-05-04 1:03:44,2022-07-12 2:11:56,구태희,FALSE,TRUE,male,30,98.86
d2ead4fc162f9beb,2022-07-06 21:23:54,2022-07-31 17:57:58,신유정,FALSE,TRUE,female,50,98.86
a23c83f4a8c63bd8,2022-07-06 21:23:54,2022-07-31 17:57:58,추도훈,FALSE,TRUE,female,20,98.86
1538cc819361bbcc,2022-07-06 21:23:54,2022-07-31 17:57:58,문태희,FALSE,TRUE,female,20,98.86
a779a5323ea37e8c,2021-09-11 12:10:25,2022-10-11 9:59:43,차은서,FALSE,TRUE,female,10,98.86
f5c374648c7cc649,2022-07-12 9:23:17,2022-07-25 1:21:36,우지원,FALSE,TRUE,male,10,98.86
3d656d6992ac588f,2020-12-22 7:27:03,2022-10-13 19:13:18,유준서,FALSE,FALSE,male,30,47.73
33a3b1cf1644a177,2022-09-06 4:02:36,2022-09-06 15:31:25,온은서,TRUE,TRUE,male,30,80.68
754ae7d5ec637143,2021-09-02 14:06:01,2022-07-28 10:48:57,하민서,TRUE,TRUE,female,10,44.32
94c2da418acc6689,2022-08-12 15:08:48,2022-10-18 2:55:46,윤수아,TRUE,TRUE,female,20,98.86
f9562e86a41ed682,2022-08-18 13:11:22,2022-08-30 9:05:36,박준우,TRUE,TRUE,male,40,0
52ad89d6bade2cc1,2021-11-30 8:59:28,2022-08-03 10:47:42,양지아,TRUE,TRUE,male,30,88.64
7a51bbf185e8c9ad,2022-07-25 14:08:28,2022-10-17 11:01:26,서동욱,TRUE,TRUE,female,30,0
4ab8e58dc34bead3,2022-08-11 18:10:37,2022-08-28 21:50:33,김시우,TRUE,TRUE,female,30,0
da6f7ac5e51e3b52,2022-07-25 14:08:28,2022-10-17 11:01:26,윤아린,TRUE,TRUE,female,20,0
78829798c498278d,2022-07-25 14:08:28,2022-10-17 11:01:26,심주윤,TRUE,TRUE,female,20,0
5bd834cc871b6d7e,2022-07-09 18:07:02,2022-07-25 1:02:37,임서연,TRUE,TRUE,male,40,100
51989e78742df864,2022-07-09 18:07:02,2022-07-25 1:02:37,임지우,TRUE,TRUE,male,30,100
dc6de3f1aa3d31d6,2022-01-23 15:20:52,2022-07-03 11:11:07,윤예은,TRUE,TRUE,male,20,54.55
f4b53aa35d366f38,2022-06-14 17:26:24,2022-06-30 0:11:33,조승아,TRUE,TRUE,male,50,100
223c84b864342521,2022-06-02 19:21:48,2022-07-25 16:11:35,신규리,TRUE,TRUE,male,50,100
8f9795f7fb32495b,2022-04-24 20:21:06,2022-09-03 22:16:02,예서연,TRUE,TRUE,male,30,0
5642de61e1a3711e,2022-07-21 15:12:54,2022-08-01 10:27:55,소준수,TRUE,TRUE,male,30,0
5f29bdba68615d6a,2022-06-14 17:26:24,2022-06-30 0:11:33,경건우,TRUE,TRUE,male,20,100
24d978f6429a5af4,2022-06-02 19:21:48,2022-07-25 16:11:35,송지우,TRUE,TRUE,male,20,100
51f78a5bbdcf45fd,2022-06-14 17:26:24,2022-06-30 0:11:33,변승아,TRUE,TRUE,male,20,100
29af4d6d95c111b4,2022-06-02 19:21:48,2022-07-25 16:11:35,최정민,TRUE,TRUE,male,20,100
aa6756527cac65a1,2022-06-05 13:56:16,2022-08-31 22:51:33,옥승훈,TRUE,TRUE,male,10,0
48a9ce68eca9e341,2022-09-01 12:50:00,2022-09-10 16:52:31,경시우,TRUE,TRUE,female,20,27.27
fa4bd75542a254b1,2022-09-01 12:50:00,2022-09-10 16:52:31,신재영,TRUE,TRUE,female,20,27.27
6256b56a8118c96f,2022-09-01 12:50:00,2022-09-10 16:52:31,여하준,TRUE,TRUE,female,20,27.27
f22fadab55b6da6d,2022-07-18 13:59:47,2022-08-02 20:39:35,염동현,TRUE,TRUE,female,40,96.59
985f3889ace3a634,2022-07-18 13:59:47,2022-08-02 20:39:35,이승아,TRUE,TRUE,female,30,96.59
e6cd4efcdbfb5d64,2022-07-13 12:06:36,2022-09-10 12:43:17,박지완,FALSE,TRUE,female,20,0
7de34ae2ec8ddacd,2021-10-30 1:44:26,2022-09-01 0:19:44,추소은,FALSE,TRUE,female,10,100
fcb95466733b34c6,2022-06-27 14:10:03,2022-07-11 22:53:29,차아린,TRUE,TRUE,female,20,100
f3423d95c1ce5349,2020-10-24 16:11:36,2022-07-25 20:44:48,양정민,TRUE,TRUE,male,20,100
bc1336d6f99aeeae,2020-10-24 16:11:36,2022-07-25 20:44:48,최하윤,TRUE,TRUE,male,20,100
4b784fb33b3647a1,2022-07-19 13:20:58,2022-07-25 21:58:14,문동욱,TRUE,TRUE,male,10,100
4a5486b52749acaa,2022-06-21 1:52:25,2022-08-23 8:30:38,석정현,TRUE,TRUE,female,20,68.18
c6ef2b8a973d1764,2022-06-21 1:52:25,2022-08-23 8:30:38,전규리,TRUE,TRUE,female,20,68.18
f39a7ba66287b2ae,2022-06-21 1:52:25,2022-08-23 8:30:38,강소희,TRUE,TRUE,female,20,68.18
56c51addef38b72b,2022-06-30 16:33:50,2022-07-15 13:55:53,정우진,TRUE,TRUE,male,30,9.09
dd5ab373fde7a8d3,2020-12-29 6:11:41,2022-06-30 23:59:02,고성택,TRUE,TRUE,male,20,29.55
b61997adc142171d,2022-07-31 17:48:21,2022-08-18 17:28:49,한예준,TRUE,TRUE,male,30,0
dbbbc641311a2169,2022-05-23 20:55:26,2022-07-12 20:18:58,방유림,TRUE,TRUE,female,40,90.91
4e65db19acb3e78b,2021-11-17 10:40:02,2022-07-11 19:38:04,강민준,TRUE,TRUE,female,20,90.91
f2567f73fdbadf8f,2022-04-08 22:22:36,2022-07-11 21:26:23,윤태윤,TRUE,TRUE,male,50,0
cb88411a26975518,2022-04-08 22:22:36,2022-07-11 21:26:23,차지유,TRUE,TRUE,male,20,100
aa7c81e77545495f,2022-04-08 22:22:36,2022-07-11 21:26:23,현가은,TRUE,TRUE,male,20,0
b87a5a35cc2add57,2022-07-31 16:10:17,2022-08-15 18:01:58,구건,TRUE,TRUE,male,40,98.86
9a5643446cce9cc4,2022-07-11 11:40:42,2022-07-30 18:56:37,설재영,TRUE,TRUE,male,20,0
